A,Assigned to,Article,Article No.,Item Group,Base Unit,Store Unit,Loss,Last Purchase Price,Sales Price,Ignore in Inventory,Article Code,Weight Factor,Barcode,Producer,Country of Origin,Article Folder/URL 1,Picture,Article Folder/URL 2,Visibility,Changed by,At
,Expenses,Dough Mixer 30 KG (Al Najjar ),5342,Kitchen Assets,Each,Each,,380,0,0,,1,,,,,,,0,Shkakhwa,10/05/2018
,Expenses,Dough Mixer 45 KG ( Prep Area ),5337,Kitchen Assets,Each,Each,,748.324,0,0,,1,,,,,,,0,Shkakhwa,21/04/2018
,Expenses,dough proofing (sinmag) ( prep ),5004,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,11/12/2017
,Expenses,Dough Sheeter ( Prep ),5011,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,11/12/2017
,Profit Contribution,Dried Mushrooms,119006,Dry Food,Kilogram,Kilogram,,13.947,0,0,,1,,,,,,,0,Shkakhwa,16/03/2017
,Expenses,driver bag ( Cold ),5202,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Expenses,driver bag heater ( Cold ),5201,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Profit Contribution,Dry Mint Loose 1kg,113002,Herbs,Kilogram,Kilogram,,5,0,0,,1,,,,,,,0,Admin,19/02/2016
,Profit Contribution,Durra Dry Kamerdeen 400 GM,118016,Baking Items,Kilogram,Kilogram,,2.119,0,0,,1,,,,,,,0,Sandeep,19/05/2016
,Profit Contribution,Durra Dry Molukhia 400 GM,119003,Dry Food,Kilogram,Kilogram,,7.143,0,0,,1,,,,,,,0,Shkakhwa,12/12/2016
,Profit Contribution,DURRA GRENADINE MOLASSES 1000 Gmx6,116001,Syrups,Liter,Liter,,2,0,0,,1,,,,,,,0,Admin,19/02/2016
,Profit Contribution,Durra Makdous EGG PLANT 1400 ml,120069,Other Condiments,Kilogram,Kilogram,30.00%,3.5,0,0,,1,,,,,,,0,Shkakhwa,24/09/2017
,Profit Contribution,DURRA TOMATO PASTE 1.375 G,130001,Paste,Kilogram,Kilogram,,0.423,0,0,,1,,,,,,,0,Admin,20/02/2016
,Expenses,Dustbin (Recieption Area),6045,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Profit Contribution,EGG (SAUDI),105002,Dairy Others,Each,Each,,0.045,0,0,,1,,,,,,,0,Admin,19/02/2016
,Profit Contribution,Eggplant large,107018,Fresh Vegetables,Kilogram,Kilogram,30.00%,0.33,0,0,,1,,,,,,,0,Shkakhwa,02/10/2017
,Profit Contribution,Eggplant long,107019,Fresh Vegetables,Kilogram,Kilogram,10.00%,0.75,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Eggplant small    ,107020,Fresh Vegetables,Kilogram,Kilogram,10.00%,0.35,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Egypt rice (sunwhite),109001,Rice,Kilogram,Kilogram,,0.66,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,El Basha Cashew Nut,117009,Nuts,Kilogram,Kilogram,,2.35,0,0,,1,,,,,,,0,Shkakhwa,16/03/2017
,Expenses,Elactric Candle small (Wall Display),6093,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Electric Bone Saw ( Butchery ),5316,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,23/12/2017
,Expenses,Electric Flat Grill,15034,Store Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,31/12/2017
,Expenses,Electric Fryer Disk Top,15037,Store Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,31/12/2017
,Expenses,Electric Hot Plate ( Kunafa ),10007,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,18/12/2017
,Expenses,Ellisse bezzera espresso machine (Bar Area),6115,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Energizer Battery,1000018,Others,Each,Each,,1.393,0,0,,1,,,,,,,0,Shkakhwa,31/01/2018
,Profit Contribution,ENG. Parsley  ,108012,Fresh Herbs,Kilogram,Kilogram,45.00%,0,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Espresso Primo 500 GM,142015,Coffee & Tea,Kilogram,Kilogram,,8,0,0,,1,,,,,,,0,Shkakhwa,20/04/2016
,Expenses,Esteem 5Ltr,4003,Chicemicals,Each,Each,,0.89,0,0,,1,,,,,,,0,Shkakhwa,11/01/2017
,Expenses,Estikana Tea Spoon,1069,Small Ware,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,01/01/2017
,Expenses,Eurfrigor crush ice machine (Bar Area),6124,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,Extension Wire (Recieption Area),6054,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Profit Contribution,F-CS65 Lucerne 2 KG Bag (milk chocolate),118033,Baking Items,Kilogram,Kilogram,,7.2,0,0,,1,,,,,,,0,Shkakhwa,18/03/2017
,Profit Contribution,Falafel Dough Prep 22.60 kg ( DONT USE ) (PA),800055,Sub Reciepes,Kilogram,Kilogram,0.00%,0.282,0,0,,1,,,,,,,,Shkakhwa,30/04/2016
,Profit Contribution,Falafel Dough Prep 22.60 kg (NEW) (PA),800128,Sub Reciepes,Kilogram,Kilogram,0.00%,0.293,0,0,,1,,,,,,,,Shkakhwa,04/06/2020
,Expenses,Falafel Fryer,15026,Store Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,31/12/2017
,Profit Contribution,Falafel Ready 1.1 kg (PA),800032,Sub Reciepes,Kilogram,Kilogram,0.00%,0.3,0,0,,1,,,,,,,,Shkakhwa,30/04/2016
,Profit Contribution,Fandees Arabic Mastic Ice Cream 5 Liter Pack,105017,Dairy Others,Liter,Liter,,2.9,0,0,,1,,,,,,,0,Shkakhwa,29/08/2017
,Profit Contribution,Fandees Chocolate Ice Cream 5 Liter Pack,105022,Dairy Others,Liter,Liter,,2.2,0,0,,1,,,,,,,0,Vinay,29/09/2017
,Profit Contribution,Fandees Cream Qishta Ice Cream 2 Liter Pack,105018,Dairy Others,Liter,Liter,,2.5,0,0,,1,,,,,,,0,Shkakhwa,29/08/2017
,Profit Contribution,Fandees Double Vanilla 5 Ltr Pack,105014,Dairy Others,Liter,Liter,,2.2,0,0,,1,,,,,,,0,Shkakhwa,22/04/2017
,Profit Contribution,Fandees LotusIce Cream 5 Ltr Pack,105015,Dairy Others,Liter,Liter,,2.9,0,0,,1,,,,,,,0,Shkakhwa,22/04/2017
,Profit Contribution,Fandees Rose Hagoum Ice Cream 5 Ltr Pack,105016,Dairy Others,Liter,Liter,,2.9,0,0,,1,,,,,,,0,Shkakhwa,22/04/2017
,Profit Contribution,Fanta 355 Ml Can,133005,Canned Drinks,Each,Each,,0.138,0,0,,1,,,,,,,0,Shkakhwa,22/03/2016
,Profit Contribution,Faqoos,107083,Fresh Vegetables,Kilogram,Kilogram,,0.718,0,0,,1,,,,,,,0,Shkakhwa,05/07/2020
,Profit Contribution,fennel ,108007,Fresh Herbs,Kilogram,Kilogram,15.00%,0,0,0,,1,,,,,,,0,Admin,20/02/2016
,Profit Contribution,Fenugreek Leaves ( Methi ),112040,Spices,Kilogram,Kilogram,,7.905,0,0,,1,,,,,,,0,Shkakhwa,16/03/2017
,Profit Contribution,Feta Cheese,101009,Cheese,Kilogram,Kilogram,,3.725,0,0,,1,,,,,,,0,Admin,19/02/2016
,Expenses,Firest Aid Box (Recieption Area),6068,Dining Assets,Each,Each,,0,0,0,,1,,,,,,,0,Vinay,20/12/2017
,Expenses,first aid Kit ,5163,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Profit Contribution,FISH FILLET DORIE FROZEN,140011,Frozen Fish,Kilogram,Kilogram,,1,0,0,,1,,,,,,,0,Sandeep,10/07/2016
,Profit Contribution,Fish Fingers Prep 1 Portion (PA),800103,Sub Reciepes,Portion,Portion,0.00%,0.28,0,0,,1,,,,,,,,Shkakhwa,01/08/2019
,Expenses,fish peeler ( Butchery ),5154,Kitchen Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,13/12/2017
,Profit Contribution,Fish Stock Powder,112033,Spices,Kilogram,Kilogram,,0,0,0,,1,,,,,,,0,Admin,20/02/2016
,Expenses,Fish Waste,1000008,Others,Kilogram,Kilogram,,0,0,0,,1,,,,,,,0,Shkakhwa,15/01/2017
,Expenses,Flafel Mold Small,15012,Store Assets,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,30/12/2017
