article_type,name,over_group_id,major_group_id,item_group_id,base_unit,store_unit,purchase_price
Expenses,( Catering )Insert Stainless 1/1*10 cm,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Insert Stainless 1/1*6.5 cm,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Insert Stainless 2/1*10 cm,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Insert Stainless 2/1*6.5 cm,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Juice Dispincer Sanix One tap 10 Ltr,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )lamb chafing dish 60 cm,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Menu stand stainless steel 20 cm,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Order Holder 75 cm,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Porcelain Plate 20 cm,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Porcelain Plate 27 cm,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Service Tray 40 Cm,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Soup Spoon ,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Veg Mandoulieen Stainless ,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Wood Fork,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,(zanolli ) dough sheeter ( Bakery ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,**Dont Use**Clear Cup 20Z W/Clear LI**Dont Use**,General,Packaging,Packaging,Each,Each,15.5
Profit Contribution,**Dont Use**Kamerdeen 400 gm****Dont Use****,Food,Condiments,Other Condiments,Kilogram,Kilogram,3.75
Profit Contribution,**dont use**Spring Onion**dont use**,Food,Fruits & Vegetables,Fresh Vegetables,Kilogram,Kilogram,0.3
Profit Contribution,**Dont Use**White Sugar**Dont Use**,Food,Condiments,Sugar,Kilogram,Kilogram,0.4
Expenses,1/1 stainless steel container 100mm ( Prep ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/1 stainless steel container 200mm ( Prep ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/2 plastic container 100mm ( Cold ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/2 plastic container 100mm ( Hot ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/2 plastic container 100mm ( Prep ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/2 plastic container 150mm ( Hot ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/2 stainless steel container 100mm ( Hot ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/2 stainless steel container 100mm ( Prep ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
Expenses,1/2 stainless steel container 150mm ( Hot ),Assets,Kitchen Assets,Kitchen Assets,Each,Each,0
